0,1,2,3,4,5,6,7,8,9,10
1281,1296,1281,1281,1296,2578,2656,1296,2656,14640,-1
1312,1312,1281,1296,1281,1140,3390,1343,13749,9546,-1
1281,1312,1312,1234,1703,2890,3562,1281,10734,10859,-1
1281,1187,1953,1281,2718,1249,3812,5921,6875,12828,-1
1328,1218,1796,1906,2083,3468,4484,5562,60562,15718,-1
1312,1046,1797,1921,1796,1297,3703,7203,3609,1328,-1
1328,1187,1281,1328,1671,1265,4156,4031,7249,1265,-1
1124,1296,1328,2890,1796,1328,2968,4906,24624,1296,-1
1296,1296,1265,2171,1281,2656,1312,1265,11359,1312,-1
3172,-1,1296,1765,2171,2656,1265,4203,7968,1312,-1
1312,-1,1281,1765,1281,1218,1296,1296,1296,1281,-1
1281,-1,1265,2078,2187,1312,1312,4281,1172,1296,-1
1312,-1,1265,1296,1296,2843,3250,3531,1296,1296,-1
1328,-1,1265,1296,2546,2312,2984,1312,8281,1296,-1
1328,-1,1312,1328,1296,3546,2859,5015,5906,1124,-1
1328,-1,1593,1593,2406,3281,5515,4921,9265,16437,-1
1281,-1,2531,1578,3187,2046,4140,4906,12031,13171,-1
1312,-1,1281,1578,1312,3390,3453,1312,11328,16531,-1
1281,-1,1171,1531,3390,1281,4343,7874,1265,30546,-1
1296,-1,1312,1546,1984,4015,3828,5453,11562,25046,-1
1156,-1,1562,1671,1875,2515,3468,1203,12062,1750,-1
1156,-1,1296,1624,2000,2359,4453,8015,11765,20250,-1
1265,-1,1812,1281,2281,2703,4921,8093,7172,33906,-1
1296,-1,-1,1828,2296,2437,2953,7281,5328,16562,-1
1297,-1,-1,1984,1828,1265,3000,7562,1296,47875,-1
1265,-1,-1,1781,1765,2453,5515,6031,17593,10796,-1
1296,-1,-1,-1,2171,2765,3531,8687,7468,1328,-1
1265,-1,-1,-1,1562,3109,2906,4843,6593,12390,-1
1265,-1,-1,-1,1218,2593,2890,4296,20937,7640,-1
1265,-1,-1,-1,1234,1718,4812,4187,1296,19062,-1
1312,-1,-1,-1,1218,1499,4640,-1,1296,9671,-1
1328,-1,-1,-1,1234,2765,4140,-1,1312,80453,-1
1281,-1,-1,-1,1218,2531,3296,-1,1312,120953,-1
1328,-1,-1,-1,1234,1859,2515,-1,9218,98031,-1
1281,-1,-1,-1,1218,2531,2656,-1,12671,88984,-1
1234,-1,-1,-1,1312,1625,4437,-1,4874,1296,-1
1265,-1,-1,-1,2234,-1,4968,-1,5578,31031,-1
1234,-1,-1,-1,-1,-1,4875,-1,5750,24796,-1
1203,-1,-1,-1,-1,-1,1843,-1,6218,9218,-1
1187,-1,-1,-1,-1,-1,1296,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,3046,-1,-1,-1,-1
1062,-1,-1,-1,-1,-1,4046,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,3062,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
