0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1343,1953,4687,1499,2062,4843,4874,3984,1734,1453,1703,1703,5562,6203,1953,9375,1968,3031,5218,1421,4812,9656,4562,8203,2718,8484,9703,11343,2875,6234,40234,49312,5468,56109,15031,671937,2843
1343,1156,1671,3031,3000,5125,5015,1609,2031,1468,1531,1656,1953,1750,1953,9406,3718,4140,1406,2828,9218,1781,8296,3156,9328,6093,13468,11374,2718,2937,30843,50187,1937,1781,3765,45156,3578
1390,2750,1874,3203,4890,4874,4906,1578,1734,1734,1484,1468,1750,1781,4109,9250,9624,4609,1749,3453,4874,7671,8203,2187,1781,2609,1249,11281,5562,11468,5125,44921,1984,1734,43265,51203,2718
1406,1609,2609,1843,4906,4828,5031,1640,1671,2062,1640,1687,4046,1734,3718,9500,2796,16968,5343,3015,3859,3453,1390,1718,5218,2874,2406,4218,4390,26062,5968,50562,75687,1609,2781,50531,1687
1078,1859,2546,2968,1906,4859,4890,27656,1671,1484,1499,1671,4109,5093,1312,9359,8062,7859,6812,5500,4796,6796,1906,10484,1999,3140,2125,4859,2859,8046,40374,49796,76531,80484,2734,2234,27890
1406,1484,1578,4109,4843,4921,5218,1625,1406,2703,1640,1515,3734,1921,5156,1828,7921,10093,2109,3531,4906,4968,1500,6906,3453,17999,2843,11718,2781,5484,44281,5703,35765,1812,8078,659656,1984
1406,1468,3390,1999,4843,4875,5015,2499,3640,1468,2468,1609,2296,1999,3968,3093,8124,2624,1859,1718,3921,6468,10468,8109,2687,2734,2562,2640,2703,6093,37203,44140,5437,1968,2078,683234,2640
1515,1390,1797,1984,5078,4781,5062,4234,1984,1656,3046,1593,1937,1750,3390,9265,9281,2593,3109,3015,6546,2218,14328,8218,3031,2890,1828,2625,4359,9078,12968,49484,57250,3828,22218,2796,3062
1312,1578,1859,2718,4765,4843,4999,1749,1781,2312,2453,1734,2281,7015,8718,9312,7859,2859,14640,4265,4812,9609,14406,7578,3859,1765,3656,2562,4468,1781,40468,40437,35765,1999,42890,667734,2250
1328,1921,1671,4234,5046,4968,3171,1593,3062,1656,1640,1656,3250,4828,3718,9281,1781,1796,5156,4015,5578,6843,2484,8203,28921,3172,68640,9640,5609,8750,2234,49515,2765,1562,2390,118171,1843
1312,1937,1437,2921,1781,5031,1765,4875,3796,1468,1468,2328,1718,3296,3937,9703,1765,14109,3406,4296,4671,6296,8078,8562,5781,3406,2640,11671,2546,11281,15249,5890,35875,1765,42687,669733,150671
1359,1968,2890,2999,3250,5109,4718,1593,1734,1640,1484,1437,1921,5093,3875,1968,1937,9749,3328,5843,3125,19562,9343,5453,2890,1921,1828,2828,2859,2265,7124,49187,57609,56000,1765,2703,2000
1375,1265,1859,1781,5031,4843,3140,1796,1562,1625,1437,1453,1734,1843,8937,11828,9515,2281,22624,4984,6656,2703,5343,2890,28843,2718,33093,2703,5374,9859,2187,49156,56890,1984,22406,1890,1796
1375,1859,1531,3234,4843,4984,2250,2828,1499,1499,1499,1453,2062,3656,3609,1750,9796,4296,4093,4249,6625,5328,14437,1984,2572,3562,1265,11687,1796,2828,3375,5687,74812,56812,42640,2281,1703
1343,1734,1125,3124,5015,4796,3828,1796,1718,1546,1453,1453,1781,5421,12421,9296,2640,2000,4890,4265,4640,7671,3796,49718,8281,10999,1765,4453,2578,9500,1984,40374,53109,1937,27875,44187,2249
1046,2187,2281,2593,4921,4796,3031,1640,2249,1484,1468,2218,1531,5468,2781,2390,2031,2859,32078,4500,4703,4812,1625,9703,6078,1843,9468,11203,4156,29953,2218,5703,58187,1765,627750,668874,2968
1343,1609,2515,1906,4937,5046,1750,1640,1656,1437,2999,1468,1234,4953,3890,1984,1796,3015,1593,4343,5828,2046,1578,1968,4203,2531,24843,2688,2859,1781,3031,49500,5343,1812,27296,49046,2765
1078,1765,1890,1687,4937,5046,2921,1812,1687,1484,1515,1703,3312,1968,3921,9375,1703,1781,1593,4171,4999,6265,6531,8531,3921,2609,6250,2531,2984,43796,9015,49937,57562,81453,622203,54281,2093
1406,1953,1703,2578,4953,6687,2953,1609,1703,1453,1656,3593,1796,1906,12328,2734,1734,2125,4062,3578,5328,7531,8203,1562,4999,15062,2749,11703,4171,2124,2046,5953,58421,56453,22374,57187,283281
1328,1531,1234,3015,5078,4921,2890,1922,1765,1671,1468,3640,1749,2421,1718,9781,1718,2093,4031,2328,1874,4749,14249,10671,5687,2625,39671,11546,2578,6359,2671,49359,53031,1843,22078,2687,2046
1390,1421,1937,1390,1656,4906,1703,1609,1968,1656,1609,1578,1765,2468,1718,9453,11703,9781,3296,4156,6328,7406,4734,8265,2390,1765,2468,2593,2890,2328,8234,5859,1906,1953,22546,49234,2250
1359,1500,2152,5249,4906,4859,2874,1624,3171,1468,1671,1468,1734,6562,1750,9453,1859,2047,1828,3390,13234,13343,1578,8546,8187,3468,27125,11656,2624,2828,40468,40718,57890,1562,27421,50015,2750
1093,1968,1828,1765,4890,4921,3000,1796,2374,1515,1500,7859,2484,5453,3828,9374,11000,13281,3125,1906,5281,3359,1953,6125,5093,2796,2875,11718,2968,2140,5234,41718,57359,74843,2828,52968,4484
1359,1984,3419,1953,4062,5046,1750,1765,1875,1468,1437,1421,1937,2531,9218,9406,7953,2328,3703,4078,2343,3296,3203,8218,8609,3843,1062,4281,2968,37812,2843,47218,5718,3468,3937,43453,3249
1374,2062,1718,1468,4843,4890,2984,1609,2515,2156,5406,2906,1828,2281,3625,9296,2703,4140,4281,3640,5078,4687,1718,8312,7109,2687,1859,5281,2546,2859,3296,40687,77062,74921,1906,665031,23890
1343,1890,1937,1890,1500,5015,4140,2281,5468,2265,1656,1578,1734,1734,6749,9171,1796,2203,3968,3390,4671,2343,1874,8218,4999,6234,2593,2531,2218,4093,1765,5687,5640,1765,27343,65562,4062
1343,2468,1781,4171,2125,5171,3203,1781,3984,1531,1484,1468,2296,4781,1859,9281,2546,2796,1391,4750,7468,4656,3578,8265,5609,6062,2499,2609,2671,2078,2015,49687,60343,1562,631984,2250,2062
1343,2062,2765,2328,1578,5046,1656,1781,1687,1921,4125,1453,1953,1765,5078,9453,2328,14281,2859,4687,6499,2859,7609,10453,8234,2546,2640,1890,4406,2171,2500,5703,36015,38593,9250,1953,8031
1343,1843,2078,4171,4953,5109,4906,1468,3250,1703,1671,1531,2609,3624,2015,2984,2078,2781,1859,3984,2249,1796,1765,8203,4734,8687,2578,4359,4390,2593,37093,50906,2828,1249,33671,3046,2140
1328,1718,1484,3203,1765,4859,5046,3312,2250,1687,1437,1468,3843,13140,7796,8906,1828,3749,6984,3328,4453,7734,6343,11328,28890,10015,2562,11453,1749,5578,1999,40765,3734,1609,16437,1375,2718
1343,2031,1437,1859,4937,4953,4859,1765,5453,1484,1687,1515,2468,3625,2406,1984,9609,12546,1796,4671,4062,1797,35937,28515,9031,3453,9640,11281,2671,2078,2203,49343,2750,56656,2203,1531,8312
1046,1625,1921,2890,1968,5125,3078,1812,1531,1484,2374,1515,1749,4984,4124,9312,9718,6359,3218,4296,5859,1953,8546,8312,5093,6828,3687,11609,4171,6234,1999,49390,60734,74906,27718,44296,2968
1312,2515,1468,1484,4734,5109,4921,4249,7656,1499,1718,1468,3203,1781,12703,11772,9421,1921,1578,4093,2093,6031,1624,2859,2406,2578,3562,2562,2656,2531,2234,50734,36875,1984,3640,1781,1828
1359,1781,3156,2015,3687,4812,1234,3671,1734,1734,1671,5437,1734,1796,9015,9484,7781,4187,6593,4218,4796,1890,10703,5921,7468,82250,2031,2593,4156,2140,2609,49531,56953,1562,1781,50828,2843
1375,1781,2124,1890,5015,4843,4890,1812,1593,3921,1703,2203,1984,10593,2999,11328,1781,2843,2078,1750,6031,2999,1921,10718,2015,2265,4281,11218,2812,11187,2046,40890,57781,1578,623312,44218,2781
1312,1656,2015,1531,1984,5093,1984,2296,1796,1484,1703,1687,7937,2749,1937,9421,9781,3062,4890,5468,10437,6046,5187,10296,4203,1156,3406,3937,2703,2125,2749,49328,57562,55812,1671,41593,3062
1031,1765,2187,1999,5046,4859,4874,1796,1874,1484,1687,1453,2203,5000,3843,9546,7749,2218,3062,14718,4765,20328,33500,8468,3781,44015,3312,4109,2578,2468,5250,52281,57390,52734,617249,5265,1765
1374,1765,1359,3140,3734,4921,2937,1812,1906,1499,1515,1734,3343,1562,9203,9296,1921,16843,3031,4468,3718,6171,5750,8781,10187,14515,1734,11734,2781,2671,3328,49671,1703,3203,624312,28265,2859
