0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
686,605,1284,1420,551,2354,2183,332,603,436,347,363,1568,2260,568,5105,5084,4864,3087,2253,2415,3209,279,6195,681,1869,1023,12981,1087,5613,20262,22105,81655,103588,1981,1511,18708
179,320,2751,1047,2422,2192,2374,524,640,453,389,351,1509,883,2380,331,4212,1065,738,2213,2766,2771,318,3598,1908,16303,1685,5856,1094,3611,28477,5681,20110,973,8900,19148,1457
206,312,2795,658,2319,2660,2320,752,619,351,860,370,856,910,2641,2103,2256,1553,654,763,2186,3212,8329,5002,2138,1082,1348,989,1157,3909,21349,36140,3799,988,1109,19355,1592
83,551,896,477,2463,2317,2335,105267,623,388,1546,298,623,639,1797,5059,5411,2285,2056,2027,3091,1336,9007,5940,1705,1783,750,1159,3567,5207,12596,24885,55671,951,12561,1251,2071
208,274,628,1438,2440,2645,2507,577,291,833,807,673,737,112886,4926,4714,4463,1505,12131,2195,2823,10011,8843,4237,2033,424,2317,1443,4299,818,20458,20294,18615,971,24900,19618,1356
208,672,594,1966,2331,2493,1660,536,1827,391,453,399,1299,2231,1787,4594,387,585,3088,2371,2961,3124,1657,5388,10135,2265,17510,5897,3916,6874,1455,23168,1340,729,1131,448431,1665
193,582,17382,1451,466,2328,509,3343,1022,365,390,807,585,1682,2449,4769,1038,8239,2057,2316,2194,2859,5272,5367,2205,1917,1660,6228,1100,9094,7770,5513,21379,949,24886,22428,44161
212,565,236,1638,2015,2614,2169,520,547,399,383,418,668,3089,2410,591,591,8535,2074,3123,1465,12133,9834,3733,1754,704,810,1659,1081,504,6449,25843,55361,58999,949,1587,2701
207,256,583,567,2316,2189,1555,532,466,380,372,380,12757,278,4829,5756,4707,974,6372,2412,3392,1392,3303,1828,12045,976,25454,1081,1703,10089,1322,21977,60917,1129,11185,1014,796
232,681,334,1934,2168,2363,893,1381,409,373,364,396,798,1510,1659,563,5007,1659,1751,2432,2840,2980,11157,401,1708,1945,353,5848,638,1229,2708,5172,93579,65513,22570,1322,553
188,544,252,1474,2356,2194,3353,543,711,391,399,402,549,3127,5959,4747,1614,837,2666,2345,2360,3023,5761,8800,5511,5895,626,2225,1002,9447,1856,21834,57865,1006,10445,28135,2007
346,437,1701,1315,2608,2565,2251,490,990,398,378,754,440,3143,1025,1278,1202,1459,7823,2202,2638,2815,334,5306,3860,679,9820,5804,12000,34058,1656,6091,45190,651,12824,20644,1783
181,270,1030,567,2279,2454,618,487,391,361,1607,390,347,2070,2475,342,602,1580,613,2127,2801,843,487,613,2644,967,6728,1025,1100,731,1462,21892,3863,822,9513,25126,1867
222,588,689,322,2303,2262,1528,578,628,382,353,424,1461,603,2812,4529,719,711,472,1730,2290,2814,4049,5328,2406,1019,3749,1071,1094,23335,6098,24755,56335,86219,15792,100602,1319
181,600,434,1639,2361,2311,1646,567,649,407,369,694,548,652,7187,1245,1124,912,1809,2377,3057,3117,5200,373,2210,9142,1486,5822,11968,508,1558,5592,36557,58607,11284,24453,382229
209,228,306,1341,2457,2220,1450,644,595,377,407,2025,553,853,639,4841,658,970,2295,1014,459,2690,9464,6318,2116,975,22685,5893,1076,4096,1028,21921,49765,932,13071,1270,2578
210,275,554,242,386,2157,556,569,572,390,382,477,633,1656,599,4610,4850,4669,2247,2634,3064,2681,2490,5230,1105,957,1475,1038,1202,550,4618,5956,935,961,12049,25364,2697
