seed,len
618,7630
619,7630
620,7630
621,8656
622,8656
623,8656
624,8656
625,10144
626,10144
627,10144
628,10144
629,10144
630,10144
631,10144
632,10144
633,10144
634,10144
635,10144
636,10144
637,10144
638,10144
639,10144
640,10144
641,10144
642,10144
643,10144
644,10144
645,10144
646,10144
647,10144
648,10144
649,10144
650,10144
651,10144
652,10144
653,10144
654,10144
655,10144
656,10144
657,10144
658,10144
659,10144
660,10144
661,10144
662,10144
663,10144
664,10144
665,10144
666,10144
667,10144
668,10144
669,10144
670,10144
671,10144
672,10144
673,10144
674,10144
675,10144
676,10144
677,10144
678,10144
679,10144
680,10144
681,10144
682,10144
683,10144
684,10144
685,10144
686,10144
687,10144
688,10144
689,10144
690,10144
691,10144
692,10144
693,10144
694,10144
695,10144
696,10144
697,10144
698,10144
699,10144
700,10144
701,10144
702,10144
703,10144
704,10144
705,10144
706,10144
707,10144
708,10144
709,10144
710,10144
711,10144
712,10144
713,10144
714,10144
715,10144
716,10144
717,10144
718,10144
719,10144
720,10144
721,10144
722,10144
723,10144
724,10144
725,10144
726,10144
727,10144
728,10144
729,10144
730,10144
731,10144
732,10144
733,10144
734,10144
735,10144
736,10144
737,10144
738,10144
739,10144
740,10144
741,10144
742,10144
743,10144
744,10144
745,10144
746,10144
747,10144
748,10144
749,10144
750,10144
751,10144
752,10144
753,10144
754,10144
755,10144
756,10144
757,10144
758,10144
759,10144
760,10144
761,10144
762,10144
763,10144
764,10144
765,10144
766,10144
767,10144
768,10144
769,10144
770,10144
771,10144
772,10144
773,10144
774,10144
775,10144
776,10144
777,10144
778,10144
779,10144
780,10144
781,10144
782,10144
783,10144
784,10144
785,10144
786,10144
787,10144
788,10144
789,10144
790,10144
791,10144
792,10144
793,10144
794,10144
795,10144
796,10144
797,10144
798,10144
799,10144
800,10144
801,10144
802,10144
803,10144
804,10144
805,10144
806,10144
807,10144
808,10144
809,10144
810,10144
811,10144
812,10144
813,10144
814,10144
815,10144
816,10144
817,10144
818,10144
