seed,len
1056,-18
1057,-22
1058,-24
1059,-16
1060,-21
1061,-15
1062,-15
1063,-22
1064,-22
1065,-20
1066,-28
1067,-19
1068,-28
1069,-27
1070,-18
1071,-22
1072,-25
1073,-22
1074,-20
1075,-21
1076,-21
1077,-18
1078,-24
1079,-24
1080,-20
1081,-23
1082,-24
1083,-20
1084,-20
1085,-20
1086,-16
1087,-23
1088,-21
1089,-22
1090,-26
1091,-30
1092,-27
1093,-16
1094,-16
1095,-22
1096,-26
1097,-26
1098,-30
1099,-30
1100,-19
1101,-21
1102,-23
1103,-24
1104,-21
1105,-20
1106,-25
1107,-23
1108,-20
1109,-17
1110,-26
1111,-17
1112,-22
1113,-21
1114,-21
1115,-30
1116,-21
1117,-17
1118,-27
1119,-22
1120,-21
1121,-29
1122,-29
1123,-25
1124,-17
1125,-17
1126,-25
1127,-24
1128,-32
1129,-21
1130,-29
1131,-28
1132,-23
1133,-24
1134,-32
1135,-22
1136,-22
1137,-28
1138,-23
1139,-32
1140,-23
1141,-26
1142,-25
1143,-23
1144,-18
1145,-23
1146,-24
1147,-24
1148,-23
1149,-22
1150,-24
1151,-24
1152,-18
1153,-22
1154,-23
1155,-29
1156,-20
1157,-23
1158,-24
1159,-20
1160,-23
1161,-23
1162,-26
1163,-22
1164,-31
1165,-20
1166,-24
1167,-24
1168,-26
1169,-22
1170,-22
1171,-20
1172,-27
1173,-27
1174,-19
1175,-24
1176,-25
1177,-21
1178,-24
1179,-27
1180,-24
1181,-26
1182,-31
1183,-24
1184,-23
1185,-27
1186,-21
1187,-37
1188,-26
1189,-35
1190,-23
1191,-25
1192,-34
1193,-37
1194,-36
1195,-36
1196,-23
1197,-20
1198,-28
1199,-19
1200,-28
1201,-36
1202,-24
1203,-25
1204,-28
1205,-10
1206,-20
1207,-32
1208,-20
1209,-19
1210,-26
1211,-19
1212,-33
1213,-29
1214,-19
1215,-39
1216,-29
1217,-20
1218,-22
1219,-26
1220,-26
1221,-39
1222,-33
1223,-20
1224,-20
1225,-28
1226,-21
1227,-26
1228,-29
1229,-20
1230,-26
1231,-34
1232,-21
1233,-33
1234,-31
1235,-32
1236,-26
1237,-26
1238,-32
1239,-24
1240,-26
1241,-28
1242,-22
1243,-37
1244,-20
1245,-28
1246,-26
1247,-27
1248,-25
1249,-39
1250,-25
1251,-30
1252,-34
1253,-38
1254,-22
1255,-28
1256,-28
1257,-30
1258,-32
1259,-28
1260,-21
1261,-32
1262,-29
1263,-28
1264,-27
1265,-28
1266,-30
1267,-37
1268,-36
1269,-28
1270,-34
1271,-27
1272,-31
1273,-41
1274,-27
1275,-29
1276,-33
1277,-29
1278,-31
1279,-29
1280,-31
1281,-23
1282,-30
1283,-30
1284,-27
1285,-34
1286,-35
1287,-31
1288,-40
1289,-24
1290,-26
1291,-38
1292,-32
1293,-31
1294,-24
1295,-34
1296,-39
1297,-35
1298,-42
1299,-34
1300,-28
1301,-39
1302,-35
1303,-32
1304,-24
1305,-33
1306,-40
1307,-38
1308,-38
1309,-32
1310,-40
1311,-43
1312,-33
1313,-33
1314,-36
1315,-30
1316,-24
1317,-26
1318,-36
1319,-41
1320,-26
1321,-26
1322,-43
1323,-33
1324,-24
1325,-37
1326,-37
1327,-30
1328,-37
1329,-35
1330,-30
1331,-37
1332,-30
1333,-36
1334,-33
1335,-31
1336,-38
1337,-33
1338,-33
1339,-38
1340,-26
1341,-29
1342,-46
1343,-34
1344,-31
1345,-48
1346,-31
1347,-41
1348,-29
1349,-32
1350,-44
1351,-32
1352,-29
1353,-38
1354,-41
1355,-34
1356,-40
1357,-36
1358,-35
1359,-38
1360,-40
1361,-36
1362,-26
1363,-40
1364,-43
1365,-39
1366,-38
1367,-35
1368,-41
1369,-40
1370,-37
1371,-36
1372,-35
1373,-39
1374,-30
1375,-47
1376,-43
1377,-40
1378,-44
1379,-46
1380,-36
1381,-42
1382,-45
1383,-36
1384,-36
1385,-30
1386,-28
1387,-34
1388,-47
1389,-36
1390,-34
1391,-34
1392,-52
1393,-34
1394,-47
1395,-35
1396,-46
1397,-31
1398,-37
1399,-44
1400,-34
1401,-45
1402,-29
1403,-29
1404,-36
1405,-41
1406,-48
1407,-47
1408,-38
1409,-51
1410,-54
1411,-43
1412,-50
1413,-53
1414,-39
1415,-54
1416,-37
1417,-36
1418,-44
1419,-36
1420,-36
1421,-41
1422,-40
1423,-44
1424,-42
1425,-41
1426,-58
1427,-35
1428,-53
1429,-39
1430,-44
1431,-44
1432,-41
1433,-41
1434,-30
1435,-49
1436,-55
1437,-42
1438,-45
1439,-48
1440,-33
1441,-48
1442,-36
1443,-34
1444,-50
1445,-41
1446,-47
1447,-52
1448,-39
1449,-41
1450,-35
1451,-46
1452,-44
1453,-39
1454,-38
1455,-39
1456,-53
1457,-50
1458,-47
1459,-44
1460,-53
1461,-50
1462,-40
1463,-54
1464,-33
1465,-42
1466,-33
1467,-54
1468,-45
1469,-38
1470,-49
1471,-37
1472,-39
1473,-42
1474,-36
1475,-47
1476,-52
1477,-35
1478,-54
1479,-34
1480,-36
1481,-34
1482,-44
1483,-46
1484,-56
1485,-44
1486,-51
1487,-47
1488,-43
1489,-47
1490,-43
1491,-34
1492,-58
1493,-55
1494,-49
1495,-45
1496,-50
1497,-45
1498,-38
1499,-57
1500,-46
