seed,len
1228,10
1229,19
1230,104
1231,48
1232,21
1233,9
1234,86
1235,89
1236,95
1237,2
1238,4
1239,16
1240,26
1241,54
1242,51
1243,78
1244,65
1245,60
1246,8
1247,10
1248,84
1249,70
1250,88
1251,66
1252,29
1253,2
1254,40
1255,54
1256,37
1257,92
1258,52
1259,58
1260,46
1261,19
1262,15
1263,4
1264,80
1265,2
1266,7
1267,16
1268,59
1269,8
1270,2
1271,14
1272,25
1273,6
1274,105
1275,25
1276,3
1277,29
1278,3
1279,11
1280,8
1281,54
1282,41
1283,46
1284,19
1285,90
1286,64
1287,120
1288,121
1289,122
1290,122
1291,121
1292,121
1293,122
1294,121
1295,83
1296,26
1297,27
1298,12
1299,21
1300,18
1301,23
1302,90
1303,52
1304,13
1305,29
1306,4
1307,30
1308,7
1309,29
1310,45
1311,8
1312,8
1313,2
1314,9
1315,42
1316,13
1317,61
1318,14
1319,54
1320,4
1321,21
1322,42
1323,13
1324,6
1325,8
1326,21
1327,81
1328,3
1329,14
1330,22
1331,63
1332,53
1333,43
1334,4
1335,96
1336,8
1337,16
1338,51
1339,11
1340,32
1341,91
1342,8
1343,67
1344,29
1345,30
1346,61
1347,70
1348,29
1349,53
1350,16
1351,55
1352,15
1353,115
1354,24
1355,44
1356,48
1357,24
1358,68
1359,2
1360,60
1361,22
1362,118
1363,28
1364,15
1365,38
1366,93
1367,23
1368,8
1369,1
1370,28
1371,5
1372,20
1373,29
1374,76
1375,52
1376,9
1377,28
1378,17
1379,32
1380,9
1381,19
1382,28
1383,1
1384,4
1385,4
1386,29
1387,4
1388,2
1389,25
1390,35
1391,10
1392,13
1393,2
1394,3
1395,3
1396,70
1397,5
1398,103
1399,97
1400,123
1401,123
1402,123
1403,123
1404,22
1405,124
1406,36
1407,46
1408,38
1409,88
1410,22
1411,76
1412,56
1413,15
1414,51
1415,8
1416,94
1417,22
1418,6
1419,13
1420,20
1421,23
1422,38
1423,17
1424,8
1425,29
1426,37
1427,62
1428,25
1429,30
1430,52
1431,12
1432,107
1433,49
1434,30
1435,4
1436,8
1437,15
1438,21
1439,51
1440,13
1441,16
1442,35
1443,75
1444,4
1445,15
1446,3
1447,4
1448,19
1449,10
1450,30
1451,67
1452,38
1453,56
1454,4
1455,70
1456,5
1457,4
1458,68
1459,28
1460,21
1461,103
1462,1
1463,8
1464,25
1465,38
1466,16
1467,15
1468,38
1469,4
1470,16
1471,17
1472,2
1473,2
1474,5
1475,82
1476,100
1477,8
1478,19
1479,35
1480,116
1481,54
1482,21
1483,14
1484,4
1485,72
1486,46
1487,17
1488,16
1489,60
1490,53
1491,6
1492,4
1493,50
1494,53
1495,14
1496,73
1497,33
1498,15
1499,3
1500,14
